time,open,high,low,close,volume
1704080700,2852.3,2860.1,2848.95,2856.25,70532
1704081000,2857.65,2864.95,2851.05,2863.05,38847
1704081300,2863.05,2864.9,2850.1,2853.95,37542
1704081600,2852.25,2856.35,2845.9,2854.95,37968
1704081900,2854.0,2854.65,2846.0,2846.4,14358
1704082200,2846.25,2849.95,2843.1,2845.25,17565
1704082500,2845.25,2848.6,2844.05,2847.35,6209
1704082800,2847.35,2849.5,2847.0,2847.7,6450
1704083100,2847.7,2849.0,2845.15,2848.75,7243
1704083400,2848.75,2849.0,2844.05,2844.55,9221
1704083700,2844.55,2846.25,2843.0,2845.95,4639
1704084000,2845.95,2845.95,2842.05,2844.3,13241
1704084300,2844.3,2848.45,2844.2,2846.95,4297
1704084600,2846.95,2847.8,2843.4,2847.45,3583
1704084900,2847.45,2848.9,2846.0,2847.9,3252
1704085200,2847.9,2851.7,2846.35,2851.7,13427
1704085500,2851.7,2887.0,2851.7,2886.9,119450
1704085800,2888.0,2905.05,2886.5,2899.2,176272
1704086100,2899.2,2913.35,2897.65,2909.35,115646
1704086400,2910.0,2910.8,2896.1,2901.65,75253
1704086700,2901.65,2908.0,2898.35,2904.95,33192
1704087000,2903.75,2906.65,2891.3,2895.05,26005
1704087300,2895.0,2896.2,2888.05,2892.0,22095
1704087600,2892.0,2899.0,2888.0,2896.9,17953
1704087900,2896.9,2899.8,2892.1,2895.65,15390
1704088200,2895.65,2896.7,2890.55,2893.6,6074
1704088500,2893.6,2905.0,2891.9,2904.4,28668
1704088800,2904.4,2904.9,2900.3,2901.65,12205
1704089100,2903.2,2905.25,2898.05,2901.9,17978
1704089400,2901.9,2905.85,2897.05,2905.85,17724
1704089700,2905.9,2908.4,2903.9,2907.2,24358
1704090000,2907.2,2926.75,2905.15,2923.9,106829
1704090300,2923.9,2944.3,2922.05,2936.7,158856
1704090600,2935.35,2942.95,2925.65,2925.65,87528
1704090900,2927.0,2933.0,2925.0,2928.35,43044
1704091200,2928.0,2933.0,2926.0,2929.5,36666
1704091500,2928.1,2929.55,2921.0,2925.75,25291
1704091800,2925.75,2928.0,2917.0,2921.4,27163
1704092100,2922.45,2923.0,2912.25,2913.15,24685
1704092400,2912.0,2925.0,2912.0,2925.0,24536
1704092700,2925.0,2940.0,2925.0,2940.0,202914
1704093000,2939.7,2947.0,2935.05,2937.1,141883
1704093300,2939.5,2947.0,2936.9,2943.05,69976
1704093600,2943.7,2943.9,2932.05,2933.2,37602
1704093900,2933.35,2936.55,2929.0,2936.0,31066
1704094200,2936.0,2940.0,2934.0,2937.2,22847
1704094500,2937.2,2946.9,2935.15,2943.1,55841
1704094800,2944.55,2945.0,2935.0,2936.0,31651
1704095100,2936.0,2937.05,2932.0,2933.0,17875
1704095400,2932.3,2933.8,2930.2,2930.8,13233
1704095700,2930.8,2937.3,2929.5,2935.8,25291
1704096000,2935.8,2937.05,2932.05,2932.4,11540
1704096300,2932.4,2933.65,2930.15,2932.2,9865
1704096600,2932.2,2939.05,2932.15,2936.2,14178
1704096900,2936.2,2939.6,2935.75,2936.2,11771
1704097200,2936.2,2939.2,2934.05,2938.9,11507
1704097500,2939.0,2942.9,2935.7,2938.65,25753
1704097800,2938.65,2942.0,2937.15,2939.25,14317
1704098100,2939.75,2942.45,2936.1,2936.7,14958
1704098400,2936.7,2942.0,2935.0,2940.5,18714
1704098700,2940.0,2940.9,2931.0,2934.7,26755
1704099000,2934.95,2935.0,2928.7,2931.55,26449
1704099300,2930.9,2933.0,2927.0,2932.5,25960
1704099600,2932.5,2938.15,2930.0,2933.95,30615
1704099900,2934.75,2938.0,2932.45,2935.5,16837
1704100200,2935.5,2940.0,2935.05,2938.2,16269
1704100500,2938.25,2942.0,2935.0,2942.0,25042
1704100800,2941.0,2945.0,2936.0,2937.5,30028
1704101100,2937.5,2938.5,2932.0,2932.65,23900
1704101400,2932.65,2936.3,2929.95,2932.15,42164
1704101700,2932.15,2932.95,2920.05,2923.8,72197
1704102000,2922.75,2924.8,2908.75,2911.0,80706
1704102300,2911.9,2919.9,2911.65,2915.95,80183
1704102600,2915.2,2915.95,2906.65,2907.0,49468
1704102900,2907.0,2907.0,2900.0,2902.85,37573
